ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain
443,1942,PhD,Single,140722.86,2,2,2013-03-20,265,1336.15,42.44,369.42,208.99,38.31,0.0,5,13,3,17,16,0,0,0,0,0,0,0
444,1981,Graduation,YOLO,53829.72,2,1,2018-01-19,307,1648.27,38.1,268.95,190.94,104.01,792.91,5,9,2,12,20,0,0,0,0,0,0,0
445,1973,Master,Divorced,88934.6,1,1,2013-12-20,348,586.63,90.96,377.91,132.49,21.44,263.49,4,7,0,10,20,0,1,0,1,1,0,0
446,1966,Graduation,Alone,51479.04,0,1,2015-01-15,175,1290.97,96.26,342.96,157.5,39.97,378.94,2,6,4,12,17,0,0,1,0,0,0,0
447,1999,Graduation,Widow,62350.13,0,1,2018-09-12,129,946.97,110.96,73.8,305.38,41.84,457.83,8,5,3,17,14,0,0,0,1,0,0,0
448,1948,Graduation,Alone,71023.5,0,1,2019-11-03,283,1223.27,55.06,283.87,217.54,46.66,164.46,2,13,2,10,12,0,0,0,0,0,0,0
449,1978,Master,Together,67328.1,0,2,2015-03-02,24,713.41,71.5,287.0,108.29,31.37,485.32,5,8,2,5,11,0,0,1,1,1,0,0
450,1962,Master,Divorced,122982.59,1,0,2017-04-04,255,1089.5,40.75,419.26,120.49,48.01,115.18,2,6,2,11,5,0,0,0,0,0,0,0
451,1960,Basic,Married,46144.56,0,2,2014-05-02,252,258.7,57.21,271.25,102.69,85.95,292.98,4,5,4,11,19,0,0,0,0,0,0,1
452,1981,Graduation,Single,76400.78,2,2,2013-12-14,251,1242.32,40.49,169.77,50.44,59.46,308.83,7,10,1,24,17,0,0,0,0,0,1,1
453,1956,Master,Married,99303.02,1,0,2013-07-26,15,1253.86,69.98,143.65,137.54,102.66,329.24,8,5,5,15,18,0,0,0,1,1,0,0
454,1979,Master,Divorced,67699.92,1,0,2017-01-27,54,1725.86,60.22,387.73,151.84,22.4,153.34,8,14,3,15,12,0,0,0,0,1,0,0
455,1987,PhD,Absurd,60877.87,0,0,2012-11-25,224,1509.44,37.18,247.64,158.5,109.67,224.38,10,13,4,12,19,0,1,0,1,0,0,0
456,1994,2n Cycle,Together,27135.72,2,0,2019-07-21,102,376.77,138.46,279.43,243.39,50.53,719.95,7,7,7,12,20,0,0,0,0,0,1,0
457,1953,Graduation,Divorced,70172.37,1,0,2013-07-19,140,434.2,26.21,371.35,45.6,42.05,224.89,6,8,1,4,14,0,0,0,0,0,0,0
458,1946,Graduation,Married,73264.97,0,0,2015-10-09,309,1391.6,159.42,491.78,195.83,123.88,175.39,6,6,5,12,13,0,0,0,0,0,0,1
459,1957,Graduation,Absurd,58090.84,0,0,2019-12-01,306,1422.12,83.13,360.27,237.98,49.09,1222.65,2,8,1,15,13,0,0,0,0,1,0,0
460,1977,Master,Married,101067.73,0,2,2019-05-08,58,1252.7,65.28,202.59,274.69,25.85,433.78,4,9,4,11,20,1,0,1,0,0,0,0
461,1951,Graduation,Single,75101.3,0,1,2014-01-09,76,1244.98,139.28,244.43,137.45,36.26,185.55,4,7,2,9,19,0,0,0,0,0,1,0
462,1943,Master,Married,120843.17,2,2,2018-08-02,345,896.5,77.93,324.29,125.18,20.35,335.49,4,7,4,13,19,1,0,0,1,0,0,0
463,1968,2n Cycle,Together,30623.03,0,0,2016-11-19,153,406.45,68.11,118.13,145.55,58.85,146.5,3,13,4,10,10,0,0,0,0,0,0,0
464,1940,Graduation,Single,50217.55,1,1,2013-04-09,140,264.56,75.71,338.17,305.8,14.92,300.34,6,9,2,9,11,0,0,0,0,0,1,0
465,1988,2n Cycle,Widow,53276.4,0,2,2014-09-01,29,2005.93,110.98,260.04,27.95,24.38,204.16,3,15,5,16,13,0,0,0,0,0,0,0
466,1964,Graduation,Single,84126.7,1,0,2012-08-18,262,1297.97,69.28,212.17,124.23,71.64,189.08,5,4,5,11,21,0,1,0,0,0,0,1
467,1995,Basic,Single,33384.35,1,2,2014-08-13,164,373.5,107.92,261.45,166.26,18.11,0.0,10,10,5,6,18,0,0,0,1,0,0,0
468,1971,Basic,Widow,65079.82,0,0,2015-11-20,115,1508.45,136.76,315.82,213.2,89.05,292.91,7,9,3,7,17,0,0,0,0,1,0,0
469,1952,Master,Widow,95248.75,1,0,2019-12-22,130,882.61,15.16,234.44,62.56,18.58,859.22,6,7,6,9,14,0,0,0,0,1,0,0
470,1999,Graduation,Divorced,63080.17,1,1,2016-10-06,190,745.1,75.7,192.49,83.62,19.18,0.0,7,15,1,11,10,1,1,0,0,0,0,0
471,1999,Graduation,Single,58396.7,0,0,2013-01-23,112,608.45,56.65,196.82,130.15,29.53,128.29,7,3,1,15,17,0,0,0,0,0,0,0
472,1988,Graduation,Single,57520.4,0,0,2015-12-20,56,931.16,92.73,328.05,205.05,46.15,523.71,6,9,3,12,12,1,0,0,0,0,0,0
473,1980,2n Cycle,Single,29262.7,1,0,2016-11-12,143,905.45,113.68,253.65,82.06,75.32,165.12,8,10,3,14,14,0,0,0,0,0,0,0
474,1964,Graduation,Married,62906.28,0,0,2018-03-18,286,544.54,78.77,281.55,49.21,48.87,343.07,3,11,1,13,17,0,0,0,0,0,0,0
475,1971,Basic,Single,64867.32,2,2,2012-01-13,246,1381.62,46.38,423.27,113.12,29.43,602.11,4,8,2,6,18,0,0,1,0,0,0,0
476,1980,Graduation,Widow,63185.18,1,0,2015-08-20,101,1029.73,101.12,642.44,70.61,24.15,255.48,7,15,1,19,19,0,0,0,1,0,0,0
477,1954,Graduation,Single,77729.95,0,0,2019-01-10,20,573.36,53.26,323.66,127.2,48.77,372.29,6,11,7,17,11,0,0,0,0,0,0,0
478,1940,Graduation,Absurd,49579.68,0,0,2015-10-13,360,1038.52,27.89,269.58,114.29,28.64,0.0,3,5,2,9,10,0,1,0,0,0,0,0
479,1979,Graduation,Married,73963.29,2,0,2016-04-06,85,488.66,143.82,445.93,182.4,29.04,813.46,5,8,6,15,13,0,0,0,0,0,1,0
480,1962,Graduation,Married,77007.17,2,0,2012-04-25,134,490.02,40.43,415.19,166.52,53.39,484.64,9,4,1,12,15,0,0,0,0,1,0,0
481,1946,2n Cycle,Widow,68185.36,0,0,2016-12-20,258,883.27,121.91,177.71,220.53,65.45,94.31,3,4,1,7,12,0,0,0,1,0,0,0
482,1975,2n Cycle,Alone,42762.05,0,0,2014-11-15,76,1190.18,12.81,284.05,102.11,52.02,311.76,6,5,4,13,14,0,0,0,0,0,0,0
483,1957,Master,Single,98421.34,2,2,2018-10-26,286,823.54,125.6,229.62,44.14,114.26,159.2,8,6,4,11,10,0,0,0,1,1,0,0
484,1992,Master,Together,109974.99,1,0,2012-02-26,27,2083.79,101.91,259.64,100.75,32.19,310.65,3,10,1,11,26,0,0,0,0,0,0,0
485,1983,PhD,Divorced,102053.29,0,1,2019-08-18,342,587.1,117.35,334.06,162.75,7.64,209.25,6,7,3,14,12,0,0,1,0,0,0,0
486,1961,Graduation,Together,76876.15,0,1,2017-03-19,255,1006.03,99.47,370.42,159.39,29.04,560.8,5,15,4,7,15,0,0,0,0,0,0,0
487,1972,Graduation,Married,86097.98,1,0,2016-06-10,33,467.56,96.28,102.24,96.96,75.42,135.18,8,8,0,13,16,0,0,0,0,0,0,0
488,1956,Basic,Single,63713.54,1,1,2017-02-16,185,1083.8,111.49,148.41,116.5,69.97,390.41,2,1,1,13,18,0,0,0,0,0,0,0
489,1960,PhD,Together,137325.34,1,1,2014-03-20,97,1990.46,66.42,256.09,154.43,45.06,390.98,4,4,6,17,13,0,0,0,0,0,0,0
490,1982,Graduation,Single,61206.9,0,0,2017-03-18,111,738.0,142.13,556.09,22.91,49.89,189.51,5,9,4,10,17,0,0,1,1,0,0,0
491,1982,Graduation,Alone,43859.48,1,1,2019-05-14,90,447.27,67.48,417.39,152.28,95.38,144.14,6,7,0,6,12,0,1,0,1,0,0,0
492,1994,Graduation,Alone,49088.23,1,0,2012-12-08,305,472.77,34.21,366.5,124.04,47.63,288.81,3,3,0,13,16,0,1,1,1,0,0,0
493,1995,Graduation,Together,49886.1,1,0,2013-04-07,107,1103.13,94.34,314.05,308.53,69.82,368.03,2,7,2,8,13,0,0,0,0,0,0,0
494,1982,PhD,Married,76463.14,1,1,2019-01-24,72,612.78,70.79,146.7,295.96,57.32,407.77,5,8,3,11,11,0,0,0,1,1,0,0
495,1997,PhD,Divorced,48458.53,1,0,2014-06-08,228,671.79,74.63,523.14,210.2,47.5,407.11,3,2,2,16,11,0,0,0,0,0,0,0
496,1945,Graduation,Absurd,49367.39,0,0,2012-09-24,334,380.92,45.49,359.73,131.19,29.83,491.03,8,9,6,7,19,0,0,0,0,0,1,0
497,1958,Master,Single,138882.11,0,1,2014-04-13,333,2042.65,134.68,121.55,206.77,42.86,105.95,4,12,2,9,14,0,0,1,0,0,0,0
498,1975,Basic,Married,25233.36,0,0,2018-04-24,70,1362.98,113.15,305.58,111.41,83.39,136.92,2,11,7,6,14,0,0,0,0,1,0,0
499,1987,Master,Married,86818.59,0,2,2014-05-18,12,731.69,82.19,324.42,141.78,66.84,288.26,0,7,2,11,19,0,0,0,0,0,0,0
500,1952,Graduation,Together,70065.9,1,1,2014-12-25,305,503.42,77.5,210.64,216.0,20.88,510.83,3,8,2,16,25,0,1,0,0,0,0,0
501,1972,PhD,Alone,74713.24,1,0,2015-03-11,99,1666.9,36.16,357.53,288.8,37.35,131.55,8,8,2,10,16,0,0,0,0,0,0,0
502,1984,Graduation,Single,78292.89,1,2,2016-03-03,144,1002.54,61.18,289.48,168.06,29.07,126.95,1,11,2,14,9,0,0,0,0,0,0,0
503,1985,Graduation,Single,71609.51,0,1,2019-09-25,113,664.77,99.39,298.61,69.71,111.76,176.84,4,10,1,15,13,0,0,0,1,0,1,0
504,1998,PhD,Married,53860.69,1,0,2013-10-21,61,455.07,124.92,325.73,98.24,37.86,837.69,4,14,4,6,18,0,0,0,1,0,0,0
505,1944,Graduation,Together,71572.69,1,2,2018-09-08,168,2827.77,156.47,278.31,72.87,66.74,551.72,4,5,0,14,24,0,0,0,0,0,0,0
506,1958,Graduation,Single,56597.16,1,0,2012-01-04,127,1759.93,52.77,257.74,119.68,56.79,103.1,1,7,4,9,14,0,0,0,0,0,0,0
507,1990,2n Cycle,YOLO,44788.5,0,0,2015-05-05,56,113.47,106.54,531.88,179.74,22.39,712.72,2,10,6,19,16,0,0,0,0,0,1,0
508,1976,Graduation,Single,74988.02,1,0,2012-07-20,233,1201.11,67.93,469.76,314.39,25.54,327.66,2,10,4,12,11,0,1,0,1,0,0,0
509,1957,Graduation,Married,66770.65,1,1,2013-09-05,191,1580.81,112.67,165.07,84.28,97.7,730.94,4,7,5,14,17,0,0,0,0,0,0,0
510,1968,Graduation,Married,58749.5,0,0,2013-07-10,319,635.86,114.65,233.84,150.1,32.57,144.96,3,5,3,17,13,0,0,0,1,0,0,0
511,1954,Graduation,Together,52620.99,0,2,2018-10-09,181,1923.23,89.93,363.81,172.02,57.63,885.22,7,10,3,17,13,0,0,0,0,0,0,0
512,1973,Graduation,Single,62468.5,1,0,2014-08-13,197,848.53,77.44,196.02,130.08,36.32,662.0,0,5,1,16,16,0,0,0,0,0,0,0
513,1998,Master,Widow,62475.54,1,1,2015-07-25,96,1240.65,142.56,211.18,166.23,30.74,167.3,5,7,2,15,11,0,0,0,0,0,0,0
514,1966,Graduation,Alone,57724.83,1,1,2013-08-07,359,960.79,72.4,234.48,190.18,56.76,458.08,3,8,8,15,14,1,0,0,0,0,0,0
515,1957,Master,Together,120366.7,0,2,2012-10-24,85,1091.21,17.34,494.86,51.39,50.39,523.17,1,10,4,9,15,0,0,0,0,0,0,0
516,1947,Graduation,Married,55338.5,2,2,2013-04-09,95,1299.97,57.45,172.83,140.33,79.78,209.29,4,9,4,13,18,1,1,0,0,0,0,0
517,1995,2n Cycle,Married,31928.05,0,0,2019-05-24,92,768.76,111.05,172.01,21.26,85.72,314.79,6,10,5,12,14,0,0,0,0,0,0,0
518,1952,Master,Married,115665.8,0,2,2016-05-19,224,2548.04,108.42,424.0,111.66,69.1,91.69,4,9,4,17,13,1,1,0,0,0,0,0
519,1998,Graduation,Married,33649.63,0,0,2019-02-25,232,69.55,53.29,71.78,198.86,78.14,464.22,7,6,1,7,15,0,0,0,0,0,0,0
520,1971,Graduation,Single,65243.37,0,2,2012-12-02,19,428.39,102.13,150.57,198.51,43.55,227.84,9,10,0,14,17,0,0,1,0,0,0,0
521,1967,Graduation,Together,86626.75,2,2,2019-05-02,47,2010.92,111.14,283.86,110.61,38.58,138.62,4,9,2,9,15,0,0,0,0,0,0,0
522,1948,Master,Single,140433.74,2,1,2014-08-23,22,515.72,118.48,417.92,142.81,49.24,542.71,4,10,4,14,15,0,0,0,0,0,0,0
523,1979,Graduation,Single,48566.67,0,0,2017-01-15,269,188.29,94.16,102.53,194.73,19.43,392.21,5,7,7,13,20,0,0,0,0,0,0,0
524,1954,Master,Divorced,81966.73,0,0,2015-07-13,307,1298.13,20.44,163.62,139.85,60.75,755.88,5,6,1,13,17,0,0,0,0,0,0,0
525,1985,Graduation,Divorced,55648.85,2,2,2016-04-14,55,1273.33,107.38,168.64,94.68,17.07,274.77,3,9,1,10,16,0,0,0,0,1,0,1
526,1945,Basic,Divorced,62649.92,1,0,2012-06-05,223,1871.14,89.4,411.22,93.87,54.4,458.7,3,7,4,14,12,0,0,1,0,0,0,0
527,1956,Graduation,Married,88079.09,2,2,2019-05-28,248,665.51,55.79,230.17,65.79,61.52,323.09,10,8,5,12,20,0,0,0,0,0,0,0
528,1979,Graduation,Single,65105.46,2,2,2014-01-05,93,1782.51,114.95,148.48,80.96,97.43,1057.45,4,6,2,10,15,0,0,1,0,1,1,0
529,1966,Graduation,Single,50133.92,1,1,2018-01-24,142,467.44,98.91,130.4,181.18,13.6,318.01,10,8,2,6,14,1,0,0,0,0,1,0
530,1995,Basic,Married,42911.27,1,1,2015-02-05,328,939.2,53.88,215.52,170.62,36.35,478.69,6,12,8,13,15,0,0,0,0,1,0,0
531,1948,Graduation,Divorced,76644.08,1,2,2018-05-20,221,1656.99,26.57,327.34,212.22,51.32,89.09,4,6,5,8,15,0,0,0,0,0,1,0
532,1994,Master,Single,93831.87,0,1,2015-09-15,214,2294.19,58.84,398.97,82.63,40.88,217.38,7,4,1,13,12,0,0,0,1,0,1,0
533,1987,Graduation,Single,43960.3,0,0,2018-05-12,55,239.21,118.5,219.71,171.68,68.79,285.66,5,8,4,14,10,0,0,0,0,1,1,0
534,1948,2n Cycle,Single,45332.11,2,2,2017-06-10,42,254.12,36.61,449.52,169.19,65.0,533.13,4,2,1,13,22,0,1,0,0,1,0,0
535,1986,Master,Widow,118766.43,0,0,2012-02-25,288,596.88,58.03,255.96,162.17,33.22,64.27,4,12,1,12,10,0,0,0,0,0,1,0
536,1960,2n Cycle,Married,49455.65,0,1,2013-12-27,336,970.28,161.72,132.71,77.28,139.87,1118.62,3,4,3,19,21,0,0,0,0,0,0,0
537,1961,PhD,Married,88334.9,0,1,2016-01-10,40,675.2,118.08,378.37,374.28,47.38,59.96,4,8,4,10,18,0,0,0,0,0,0,0
538,1975,Basic,Married,59470.08,1,2,2013-03-26,120,1243.03,90.44,214.63,128.9,40.06,74.61,3,2,5,16,18,0,1,0,0,0,0,0
539,1996,Graduation,Married,38934.23,2,1,2017-01-09,136,358.93,130.1,151.79,182.85,31.69,151.21,6,14,3,19,9,0,0,1,1,0,0,0
540,1949,Graduation,Single,89098.01,0,0,2014-04-19,330,2304.47,63.18,457.38,193.36,75.88,293.02,6,6,1,9,15,0,0,0,0,0,0,0
541,1988,Graduation,Together,63659.38,2,0,2017-12-15,161,1235.36,25.99,259.45,141.84,69.53,297.68,3,8,3,18,11,0,0,0,0,0,0,0
542,1948,Graduation,Single,49242.22,1,1,2012-08-14,215,299.61,103.44,124.63,26.62,83.82,507.08,11,10,2,13,19,0,0,0,0,0,0,0
543,1948,PhD,Married,81721.4,1,1,2013-07-27,194,1003.58,85.29,172.66,164.69,93.27,278.34,2,8,2,8,9,0,0,0,0,0,0,0
544,1979,Graduation,Married,43159.9,1,1,2017-12-22,27,440.92,138.58,222.02,110.35,43.38,971.0,4,8,5,9,12,0,0,0,0,0,0,0
545,1962,Graduation,Divorced,48800.06,0,0,2013-10-17,168,601.03,127.12,191.17,117.68,29.88,298.18,8,12,2,19,23,0,0,0,0,0,0,0
546,1962,Master,Widow,139644.05,2,2,2012-06-09,348,795.8,128.29,173.33,206.03,51.16,121.67,6,7,1,8,11,0,0,0,1,0,0,0
547,1969,Graduation,Together,75463.33,1,0,2014-08-04,317,723.4,57.23,414.19,42.94,102.7,315.39,8,4,3,8,13,0,0,0,0,0,0,0
548,1966,Master,Together,111129.79,0,1,2016-05-19,278,1566.5,93.63,144.93,64.65,36.36,310.56,8,8,1,10,10,0,0,0,1,0,0,0
549,1962,Master,Married,91576.3,1,1,2017-07-13,139,822.49,66.2,219.64,124.51,39.79,259.29,4,10,6,12,17,0,0,1,1,0,0,0
550,1944,Graduation,Single,58965.74,1,1,2013-06-24,281,639.91,41.28,217.76,411.47,53.16,352.28,2,10,3,10,22,1,0,0,0,0,0,0
551,1956,Graduation,Single,49604.78,0,0,2015-05-21,351,580.05,164.12,178.54,39.49,62.62,462.83,9,7,4,12,22,1,0,0,0,0,0,0
552,1994,Graduation,Single,38967.33,0,1,2013-12-24,352,621.56,81.36,407.72,117.03,38.21,0.0,7,6,4,11,15,0,0,0,0,0,1,0
553,1996,PhD,Married,52945.01,2,0,2018-12-18,262,1013.83,115.67,340.1,34.37,56.75,714.86,2,7,3,12,11,0,0,0,1,0,0,0
554,1998,Graduation,Alone,50952.17,0,1,2016-02-27,173,1408.42,58.34,261.78,92.47,59.92,197.18,2,7,4,10,19,0,0,0,0,0,0,0
555,1984,Graduation,Widow,79911.55,0,0,2016-09-06,229,1141.22,124.78,356.75,100.82,79.96,253.92,3,12,1,9,13,0,0,0,0,1,0,0
556,1977,Master,Together,69283.68,1,0,2013-11-25,361,1201.88,105.16,214.45,59.65,29.96,194.69,5,6,5,12,15,0,0,1,0,1,1,0
557,1990,Graduation,Married,55756.88,1,2,2016-08-13,248,1329.54,113.27,269.82,59.43,35.49,845.9,6,7,4,13,19,0,0,0,0,1,0,0
558,1992,Basic,Single,26811.99,2,0,2017-02-20,112,534.3,101.82,391.54,194.14,98.28,126.26,4,11,3,6,8,0,0,0,0,1,0,0
559,1977,Master,Married,65555.4,2,2,2016-11-13,67,743.09,75.38,291.45,151.73,84.39,145.61,9,7,2,12,26,0,0,0,0,0,0,0
560,1974,Basic,Divorced,46191.37,0,1,2014-08-03,267,819.56,67.49,322.53,120.63,35.33,123.82,3,5,3,8,8,1,0,0,0,0,0,0
561,1988,Master,Widow,88665.82,0,2,2015-04-09,72,439.02,105.03,231.27,15.78,65.61,321.25,4,6,6,10,18,0,0,0,1,0,0,0
562,1966,Master,YOLO,120175.64,1,2,2015-11-25,83,659.14,106.64,243.7,33.1,29.16,390.34,3,1,2,11,15,0,0,0,0,0,0,0
563,1985,2n Cycle,Alone,59454.54,2,0,2016-08-14,71,566.4,40.84,201.79,236.83,44.51,725.57,4,6,2,7,16,0,0,0,1,0,1,0
564,1974,Graduation,Single,79992.95,1,0,2019-06-22,137,652.18,34.67,445.11,82.78,97.27,182.48,7,13,6,19,12,0,0,0,0,0,0,0
565,1941,Graduation,Single,52200.8,1,0,2019-07-02,157,1525.29,110.99,174.62,33.55,68.89,762.14,6,10,2,14,12,0,0,0,1,0,1,0
566,1980,Graduation,Together,57919.8,1,0,2016-08-20,287,1134.97,16.26,316.66,129.05,35.91,313.17,4,15,1,11,13,0,0,0,1,0,0,0
567,1965,PhD,Single,79107.86,1,0,2015-09-19,228,1047.59,52.44,167.14,152.46,46.57,617.66,6,9,3,14,11,0,0,0,0,0,0,0
568,1940,Graduation,Widow,75880.32,1,0,2015-08-15,72,892.57,69.59,147.49,125.44,37.0,411.33,10,4,4,6,19,0,0,0,0,0,0,0
569,1945,Graduation,Single,68018.73,0,0,2014-05-05,166,1622.29,140.03,159.8,271.71,30.78,289.91,2,10,2,8,21,0,0,0,0,0,1,0
570,1943,Graduation,Widow,50320.74,0,0,2012-10-13,171,847.01,58.4,237.2,174.67,32.98,62.15,4,13,1,8,21,0,0,0,0,0,0,1
571,1985,PhD,Divorced,118243.97,2,1,2017-02-12,34,654.36,27.77,96.52,179.7,104.74,218.12,5,8,3,15,21,0,0,0,0,0,0,0
572,1941,PhD,Together,128012.08,0,1,2017-03-27,108,1519.88,149.55,277.19,96.72,96.67,205.69,8,10,2,11,15,0,0,0,0,0,1,0
573,1992,Graduation,Absurd,75496.03,0,1,2019-10-05,163,1100.31,77.44,299.72,169.56,40.67,441.64,3,8,3,12,8,1,1,0,0,0,1,0
574,1987,2n Cycle,Single,46217.16,1,0,2019-01-05,348,564.58,62.55,542.07,95.07,3.29,174.56,5,5,3,14,18,0,0,0,0,0,0,0
575,1981,Graduation,Single,77623.45,0,0,2017-12-24,105,748.45,69.12,397.01,211.44,29.51,201.31,7,4,3,14,15,0,0,0,0,0,0,0
576,1940,Master,Widow,72737.38,0,2,2014-03-27,42,1416.28,69.4,422.87,147.25,29.06,574.74,4,9,5,15,13,0,0,0,1,0,0,0
577,1945,Basic,Together,68238.99,2,0,2016-11-01,135,1141.23,76.45,295.63,171.92,27.34,343.71,6,9,3,12,19,0,1,0,0,1,0,0
578,1973,Graduation,Married,61801.34,1,0,2014-12-02,204,960.64,164.92,235.86,144.91,52.14,679.04,7,4,3,8,16,0,0,0,0,1,0,0
579,1975,2n Cycle,Divorced,28351.16,1,0,2016-09-03,3,611.08,63.45,325.78,197.16,49.5,315.17,4,6,1,11,17,0,0,0,0,1,0,0
580,1995,Graduation,Single,58680.1,0,0,2017-10-11,110,1822.08,57.03,237.59,156.69,68.42,0.0,4,7,4,18,14,0,0,0,1,1,0,0
581,1944,Master,Married,124271.24,1,1,2017-10-23,103,482.99,110.68,446.44,125.49,27.65,189.61,1,13,3,20,20,0,0,0,0,0,0,0
582,1986,Master,YOLO,113353.16,1,1,2014-03-22,64,817.1,88.56,600.1,69.0,44.48,100.16,3,10,3,10,16,0,0,0,1,0,1,0
583,1955,Master,Together,139610.18,1,1,2019-06-04,75,1449.27,51.23,249.52,52.03,70.47,525.03,3,14,6,19,17,0,0,0,0,0,0,0
584,1966,2n Cycle,Divorced,42644.29,1,0,2017-09-06,87,758.78,74.98,657.26,421.6,66.28,0.0,3,5,2,10,14,0,0,0,0,0,0,0
585,1951,Graduation,Divorced,72691.23,0,0,2013-11-06,118,1453.44,112.54,182.37,82.51,30.98,359.02,4,16,4,15,22,0,0,0,0,0,0,0
586,1962,2n Cycle,Widow,52514.27,0,0,2019-03-04,338,1246.83,124.03,211.28,157.39,37.41,584.35,6,6,4,10,11,0,0,0,0,0,0,0
587,1979,Master,Married,105892.59,1,0,2012-09-18,197,653.58,73.12,216.1,107.18,43.59,170.57,6,12,1,16,11,0,0,0,0,0,0,0
588,1985,Graduation,Married,79348.34,1,0,2014-02-25,140,883.35,159.36,471.44,137.16,63.96,745.77,4,10,3,16,13,0,0,1,0,0,0,0
589,1969,Graduation,Together,63745.54,1,0,2014-07-23,311,459.73,101.96,284.68,73.2,51.13,0.0,0,6,4,13,18,0,0,0,0,0,0,0
590,1995,Graduation,Together,46656.43,0,0,2018-02-26,220,492.97,77.93,365.73,100.65,35.16,118.55,4,6,6,10,9,0,0,0,0,0,0,0
591,1964,Graduation,YOLO,67103.82,1,0,2018-10-24,61,897.89,10.48,193.39,140.07,79.3,181.54,2,12,1,9,11,1,1,0,0,0,0,0
592,1948,PhD,Married,136501.67,2,2,2012-05-02,240,1204.63,108.71,268.57,131.07,34.95,769.74,7,4,4,5,14,0,0,0,0,0,0,0
593,1983,Master,Widow,117877.02,1,0,2019-05-21,106,1103.49,22.13,150.38,74.18,44.44,442.77,4,6,2,10,19,0,0,0,0,0,0,0
594,1969,Graduation,Married,55801.67,0,0,2018-01-15,78,1130.46,99.51,318.85,191.05,71.22,731.82,7,5,5,11,11,0,0,0,0,0,0,0
595,1974,Basic,Widow,29818.69,1,0,2012-04-03,163,1059.98,54.52,416.4,102.09,76.03,140.76,4,5,1,15,10,0,0,0,0,0,0,0
596,1997,Graduation,Divorced,33071.56,0,2,2018-09-08,25,539.0,54.55,192.87,128.42,54.9,0.0,9,7,5,7,12,0,0,0,0,0,0,0
597,1959,Graduation,Married,95814.29,1,1,2018-11-12,304,1379.39,62.05,187.1,186.01,50.63,372.42,1,8,2,14,18,0,0,0,1,1,0,0
598,1962,Graduation,Widow,54422.93,2,0,2014-08-24,212,954.21,63.29,318.19,166.29,53.5,370.0,6,9,2,9,13,0,0,0,0,0,1,0
599,1985,Graduation,Married,73481.04,2,2,2018-10-03,47,1596.15,76.82,243.54,139.6,54.61,666.85,2,12,3,10,19,0,0,0,1,0,0,0
600,1946,Graduation,Married,55080.11,0,0,2017-10-17,274,1258.88,132.95,506.6,111.7,23.61,1047.84,6,4,2,13,10,0,1,0,0,0,0,0
601,1982,PhD,Together,68255.25,0,0,2013-12-05,5,1503.68,69.99,364.05,110.56,59.67,0.0,6,8,0,8,22,0,0,0,0,0,0,0
602,1970,Graduation,Alone,48497.39,0,2,2017-10-02,136,1111.76,59.65,221.19,151.24,66.87,284.75,7,7,3,15,14,0,0,0,0,0,0,0
603,1964,Master,Married,142876.84,0,1,2014-08-22,313,534.72,71.19,365.72,77.0,63.76,287.72,4,6,4,10,13,1,0,0,0,0,0,0
604,1999,Master,Married,60468.5,2,0,2016-03-18,8,1463.23,33.73,316.12,85.11,35.31,386.4,6,8,4,7,15,0,0,0,0,1,0,0
605,1982,Basic,Single,41484.95,1,1,2018-01-21,70,417.84,84.28,402.18,58.36,61.22,203.22,6,6,6,10,21,0,0,0,0,0,0,0
606,1947,2n Cycle,Divorced,39678.45,0,0,2014-06-10,67,344.83,49.89,113.85,151.92,54.72,195.76,5,9,1,15,14,0,0,0,0,0,0,0
607,1963,Master,Married,93192.43,1,2,2012-04-05,202,947.12,114.01,397.72,221.49,36.03,174.72,3,9,3,9,19,0,0,0,0,0,0,1
608,1961,Graduation,Widow,49739.38,0,0,2016-04-14,94,775.21,34.8,276.12,216.12,65.35,298.55,7,8,3,13,13,0,0,0,0,0,0,0
609,1970,PhD,Single,104702.61,0,1,2016-12-24,296,415.29,34.92,507.6,115.94,78.85,523.09,4,9,3,11,14,0,0,0,1,1,0,0
610,1964,Graduation,Alone,48025.37,1,0,2012-06-13,8,408.04,129.57,226.7,134.42,41.61,80.33,5,9,3,15,17,0,0,0,0,0,0,0
611,1991,Graduation,Married,53731.81,0,1,2018-07-12,215,1652.13,51.04,144.61,176.56,32.69,874.23,3,13,5,7,18,0,0,0,0,0,0,0
612,1993,Graduation,Absurd,79538.72,0,2,2014-02-08,76,1497.82,63.51,310.37,310.43,55.32,192.8,3,6,2,12,18,0,0,0,0,0,0,0
613,1962,Master,Divorced,88115.84,0,2,2018-03-05,255,1898.79,128.33,207.75,130.16,42.82,345.86,8,6,2,13,13,0,0,1,0,0,1,0
614,1980,2n Cycle,Single,38728.72,2,0,2016-07-16,322,1094.99,120.64,470.27,191.08,51.6,741.17,9,6,1,11,11,0,0,0,0,0,1,0
615,1959,Graduation,Married,76335.06,2,0,2012-07-18,150,1992.78,100.16,318.11,58.85,54.18,313.28,6,6,0,19,22,0,0,0,0,0,0,0
